shipments,trackstart,trackend,volume
Company_A_4_7,1,3,5
Company_A_4_7,1,4,0
Company_A_4_7,2,14,0
Company_A_4_7,3,1,0
Company_A_4_7,3,5,0
Company_A_4_7,3,7,5
Company_A_4_7,3,14,0
Company_A_4_7,4,1,5
Company_A_4_7,4,6,17
Company_A_4_7,4,8,0
Company_A_4_7,4,12,0
Company_A_4_7,5,3,0
Company_A_4_7,5,7,0
Company_A_4_7,5,14,0
Company_A_4_7,6,4,0
Company_A_4_7,6,7,17
Company_A_4_7,6,9,0
Company_A_4_7,6,15,0
Company_A_4_7,7,3,0
Company_A_4_7,7,5,0
Company_A_4_7,7,6,0
Company_A_4_7,7,13,0
Company_A_4_7,8,4,0
Company_A_4_7,8,9,0
Company_A_4_7,9,6,0
Company_A_4_7,9,8,0
Company_A_4_7,9,10,0
Company_A_4_7,10,9,0
Company_A_4_7,10,11,0
Company_A_4_7,11,10,0
Company_A_4_7,12,4,0
Company_A_4_7,12,15,0
Company_A_4_7,13,7,0
Company_A_4_7,13,14,0
Company_A_4_7,14,2,0
Company_A_4_7,14,3,0
Company_A_4_7,14,5,0
Company_A_4_7,14,13,0
Company_A_4_7,14,15,0
Company_A_4_7,15,6,0
Company_A_4_7,15,12,0
Company_A_4_7,15,14,0
Company_A_3_2,1,3,0
Company_A_3_2,1,4,0
Company_A_3_2,2,14,0
Company_A_3_2,3,1,0
Company_A_3_2,3,5,0
Company_A_3_2,3,7,0
Company_A_3_2,3,14,5
Company_A_3_2,4,1,0
Company_A_3_2,4,6,0
Company_A_3_2,4,8,0
Company_A_3_2,4,12,0
Company_A_3_2,5,3,0
Company_A_3_2,5,7,0
Company_A_3_2,5,14,0
Company_A_3_2,6,4,0
Company_A_3_2,6,7,0
Company_A_3_2,6,9,0
Company_A_3_2,6,15,0
Company_A_3_2,7,3,0
Company_A_3_2,7,5,0
Company_A_3_2,7,6,0
Company_A_3_2,7,13,0
Company_A_3_2,8,4,0
Company_A_3_2,8,9,0
Company_A_3_2,9,6,0
Company_A_3_2,9,8,0
Company_A_3_2,9,10,0
Company_A_3_2,10,9,0
Company_A_3_2,10,11,0
Company_A_3_2,11,10,0
Company_A_3_2,12,4,0
Company_A_3_2,12,15,0
Company_A_3_2,13,7,0
Company_A_3_2,13,14,0
Company_A_3_2,14,2,5
Company_A_3_2,14,3,0
Company_A_3_2,14,5,0
Company_A_3_2,14,13,0
Company_A_3_2,14,15,0
Company_A_3_2,15,6,0
Company_A_3_2,15,12,0
Company_A_3_2,15,14,0
Company_B_1_11,1,3,0
Company_B_1_11,1,4,8
Company_B_1_11,2,14,0
Company_B_1_11,3,1,0
Company_B_1_11,3,5,0
Company_B_1_11,3,7,0
Company_B_1_11,3,14,0
Company_B_1_11,4,1,0
Company_B_1_11,4,6,0
Company_B_1_11,4,8,8
Company_B_1_11,4,12,0
Company_B_1_11,5,3,0
Company_B_1_11,5,7,0
Company_B_1_11,5,14,0
Company_B_1_11,6,4,0
Company_B_1_11,6,7,0
Company_B_1_11,6,9,0
Company_B_1_11,6,15,0
Company_B_1_11,7,3,0
Company_B_1_11,7,5,0
Company_B_1_11,7,6,0
Company_B_1_11,7,13,0
Company_B_1_11,8,4,0
Company_B_1_11,8,9,8
Company_B_1_11,9,6,0
Company_B_1_11,9,8,0
Company_B_1_11,9,10,8
Company_B_1_11,10,9,0
Company_B_1_11,10,11,8
Company_B_1_11,11,10,0
Company_B_1_11,12,4,0
Company_B_1_11,12,15,0
Company_B_1_11,13,7,0
Company_B_1_11,13,14,0
Company_B_1_11,14,2,0
Company_B_1_11,14,3,0
Company_B_1_11,14,5,0
Company_B_1_11,14,13,0
Company_B_1_11,14,15,0
Company_B_1_11,15,6,0
Company_B_1_11,15,12,0
Company_B_1_11,15,14,0
Company_C_13_8,1,3,0
Company_C_13_8,1,4,0
Company_C_13_8,2,14,0
Company_C_13_8,3,1,0
Company_C_13_8,3,5,0
Company_C_13_8,3,7,0
Company_C_13_8,3,14,0
Company_C_13_8,4,1,0
Company_C_13_8,4,6,0
Company_C_13_8,4,8,1
Company_C_13_8,4,12,0
Company_C_13_8,5,3,0
Company_C_13_8,5,7,0
Company_C_13_8,5,14,0
Company_C_13_8,6,4,0
Company_C_13_8,6,7,0
Company_C_13_8,6,9,0
Company_C_13_8,6,15,0
